번호,대화A,대화B,,,,,,,,,,,,,,,
182,가: 일이 어떻게 되고 있는지 사람을 놓아 알아보시지요.,나: 그럼 자네가 가서 일이 이루어지는 과정을 알아 오게.,,,,,,,,,,,,,,,
183,가: 여기에 주사를 놓으시면 많이 아플 것 같은데요.,나: 환자분이 힘을 빼시면 그리 아프지 않아요.,,,,,,,,,,,,,,,
184,가: 민준이가 저 여학생에게 고백했다고 하던데 어떻게 되었어?,나: 그 여학생이 민준이에게 퇴짜를 놨다더라.,,,,,,,,,,,,,,,
185,"가: 아저씨, 이 근처에 방을 놓은 곳이 있어요?",나: 그럼요. 어떤 집을 원하세요?,,,,,,,,,,,,,,,
186,가: 이 가구의 가격을 십만 원으로 놓으면 어떻겠습니까?,"나: 손님, 이 물건이 얼마나 구하기 힘든 건데요. 십만 원은 너무 쌉니다.",,,,,,,,,,,,,,,
187,가: 얼른 윷판에 말을 놓지 않고 뭐해?,나: 잠깐 기다려. 지금 어디로 말을 옮기면 가장 좋을지 고민하는 중이야.,,,,,,,,,,,,,,,
188,가: 광장에서 집회를 벌이던 사람들이 많이 없어졌네?,나: 응. 아까 경찰이 군중에게 공포탄을 놓아서 해산시켰어.,,,,,,,,,,,,,,,
189,가: 이게 옛날에 소식을 전하는 데 사용했던 전보 기계예요?,나: 응. 이 기계로 사람들에게 전보를 놓곤 했었지.,,,,,,,,,,,,,,,
190,가: 우리 나이도 같은데 이제 말을 놓을까요?,나: 좋아. 그럼 나부터 반말을 할게.,,,,,,,,,,,,,,,
191,가: 너무 빠른 것 같은데 속력을 좀 줄여.,나: 그럼 속도를 오십 킬로미터로 놓을까?,,,,,,,,,,,,,,,
192,가: 제가 엘리베이터 버튼을 대신 눌러 드릴게요. 몇 층에 가세요?,나: 십 층이요. 양손에 짐이 많아서 걱정했는데 도와주셔서 감사합니다.,,,,,,,,,,,,,,,
193,가: 우리 동아리 회장은 좀 권위적인 것 같아.,나: 동감이야. 우리들 의견은 듣지도 않고 눌러 버리니 불만이 점점 쌓이고 있어.,,,,,,,,,,,,,,,
194,가: 할아버지 장례식은 잘 마쳤니? 아버지는 좀 괜찮으시고?,나: 글쎄. 할아버지를 잃은 슬픔을 누르고 계시는 아버지의 모습이 오히려 더 안타깝게 보여서 마음이 아파.,,,,,,,,,,,,,,,
195,가: 이번 레슬링 경기는 결과가 빤히 보이는 경기였어요.,"나: 네, 김 선수가 상대를 가볍게 누르고 결승전에 진출했지요.",,,,,,,,,,,,,,,
196,가: 이 집은 면까지 직접 뽑아서 요리하는 곳이야.,나: 그래? 직접 누른 국수라니 정말 맛있겠다.,,,,,,,,,,,,,,,
197,가: 요즘 어떻게 지내니?,나: 그냥 집에 눌러 있으면서 일자리를 알아보고 있어.,,,,,,,,,,,,,,,
198,가: 눈이 자꾸 가렵고 따가워.,나: 그렇다고 눈을 비비면 더 심해져. 나와 같이 안과에 가 보자.,,,,,,,,,,,,,,,
199,가: 요즘 멀리 있는 글자가 잘 안 보이네.,나: 눈이 나빠진 거 아냐? 시력 검사를 한번 받아 봐.,,,,,,,,,,,,,,,
200,가: 우리 삼촌은 이상하게도 손을 대는 사업마다 다 망해 버리더라.,나: 그러게 말이야. 아마도 삼촌은 좋은 사업을 찾는 눈이 없는 것 같아.,,,,,,,,,,,,,,,
201,"가: 김 선생님, 외부 강의는 잘 다녀왔어요?","나: 네, 학생들이 호기심에 찬 눈으로 강의에 집중해서 강의를 하는 저도 즐거웠어요.",,,,,,,,,,,,,,,
202,가: 너 왜 평소와 달리 조신하게 행동하고 그래?,나: 내 행동을 보는 주위의 눈들 때문에 함부로 행동하지 못하겠어.,,,,,,,,,,,,,,,
203,가: 태풍이 온다는데 이곳은 바람 한 점 없고 조용하구나.,나: 그건 여기가 바로 태풍의 눈이기 때문이야. 내일이면 여기도 곧 비바람이 몰아칠걸?,,,,,,,,,,,,,,,
204,가: 괜찮아?,나: 너무 슬퍼서 그런지 눈물조차 나질 않네.,,,,,,,,,,,,,,,
205,가: 임신하신 지 꽤 되셨지요?,나: 네. 이제는 태동도 느낄 수 있을 정도예요.,,,,,,,,,,,,,,,
206,가: 아들이 자기 인생에 상관하지 말라고 말을 하니 무척 화가 나더라고요.,나: 그런 상황에서 분노를 느끼는 건 당연하지요.,,,,,,,,,,,,,,,
207,가: 지난번에 시작한 프로젝트는 잘 진행되고 있어?,나: 내 능력에 한계를 느끼고 그만뒀어.,,,,,,,,,,,,,,,
208,가: 유민이를 좀 돕고 싶은데 제 도움을 부담스럽게 느끼면 어떻게 하죠?,나: 가까운 사이가 아니라면 네 도움을 부담스럽다고 느낄 수도 있긴 하지.,,,,,,,,,,,,,,,
209,가: 박물관에 자주 다니신다면서요?,나: 네. 박물관에 가면 역사와 문화를 느낄 수 있어서 좋아요.,,,,,,,,,,,,,,,
210,가: 어디가 아파서 병원에 왔죠?,나: 계속 머리가 아프고 몸이 뻣뻣한 느낌이 있어서요.,,,,,,,,,,,,,,,
211,가: 어릴 땐 언제까지나 그렇게 젊을 줄 알았는데.,"나: 그러게, 우리가 언제 이렇게 늙었는지 모르겠다.",,,,,,,,,,,,,,,
212,가: 쉰이 넘은 직원들은 대부분 회사를 나가게 됩니다.,나: 늙었다고 하기에는 아직 한창 일할 때가 아닌가요?,,,,,,,,,,,,,,,
213,"가: 할머니, 밭에 오이가 아직 남아 있어요.",나: 더 두었다가 늙으면 오이지를 해 먹자.,,,,,,,,,,,,,,,
214,가: 저 친구가 자네보다 다섯 살이나 어리네.,나: 정말요? 아니 뭘 하다가 저렇게 늙었대요?,,,,,,,,,,,,,,,
215,가: 오늘 애들 학부모들이 왔는데 다들 나이가 많더군요.,나: 요즘은 결혼을 늦게 하니까 늙은 엄마가 흔하죠.,,,,,,,,,,,,,,,
216,가: 우리 아이는 책 읽기를 싫어해서 어떤 책을 사 줘야 할지 고민이 많아.,나: 책을 골라 주려고 하지 말고 스스로 책을 잘 고를 수 있는 능력을 키워 주는 게 좋지 않을까?,,,,,,,,,,,,,,,
217,가: 왜 절뚝거리면서 걸으세요?,나: 어제 운동을 하다 다리를 조금 다쳤어요.,,,,,,,,,,,,,,,
218,가: 의자가 좀 높아서 아이가 불편해 하는 것 같아.,나: 그럼 다리를 조금만 잘라서 높이를 조절해 줄까?,,,,,,,,,,,,,,,
219,가: 술안주가 없는데 어떻게 하죠?,나: 오징어 다리나 구워 와.,,,,,,,,,,,,,,,
220,가: 안경이 비뚤어진 것 같아.,나: 안경 다리가 좀 휘어서 그래.,,,,,,,,,,,,,,,
221,가: 민준이는 정말 빨리 달리네.,나: 사실 쟤가 달리기 시합에서 늘 일등만 했어.,,,,,,,,,,,,,,,
222,"가: 아저씨, 택시로 부산까지 가는 데 시간이 얼마나 걸릴까요?",나: 글쎄요. 쉬지 않고 달리면 세 시간 정도 걸릴 겁니다.,,,,,,,,,,,,,,,
223,가: 비록 멀리 있지만 내 마음은 항상 여자 친구에게로 달리고 있어.,나: 네가 그 여자 친구를 많이 사랑하나 보다.,,,,,,,,,,,,,,,
224,가: 김 과장이 요즘 출세 가도를 달리더군.,나: 그러게 말이야. 곧 부장으로 승진하게 될지도 몰라.,,,,,,,,,,,,,,,
225,가: 교실 공기가 좀 안 좋은 것 같아. 가슴이 답답해.,나: 그래? 그럼 창문을 열고 환기를 좀 시키자.,,,,,,,,,,,,,,,
226,가: 오늘 네 덕분에 마음이 좀 가벼워졌어.,나: 그래. 답답할 때는 언제든지 찾아와.,,,,,,,,,,,,,,,
227,가: 엄마가 밥을 조금도 남기지 말라고 하셔서 억지로 다 먹었어요.,나: 사람이 왜 그렇게 답답해? 그러다가 배탈이라도 나면 어쩌려고 그러니?,,,,,,,,,,,,,,,
228,가: 큰 집으로 이사 가셨다면서요?,나: 네. 전에 살던 집은 다섯 식구가 살기에 좀 답답해서요.,,,,,,,,,,,,,,,
229,가: 제 동생은 말이 너무 느려서 정말 답답해요.,나: 그래도 필요한 말은 다 하잖아요. 너무 속상해 하지 마세요.,,,,,,,,,,,,,,,
230,가: 그 사람은 왜 그렇게 말을 생각 없이 하는지 몰라.,"나: 그러게 말이야. 장난으로 던진 돌에 개구리는 맞아 죽는다고, 자기 말에 다른 사람들이 크게 마음이 상하는 것을 모르나 봐.",,,,,,,,,,,,,,,
231,가: 대체 번지 점프를 어떻게 해요? 저는 너무 무서워요.,"나: 몸을 아래로 던질 때, 얼마나 짜릿하고 재미있는데요.",,,,,,,,,,,,,,,
232,가: 너 하는 꼴을 보니 성적은 안 봐도 뻔하다.,나: 그렇게 아무 말이나 막 던지지 마.,,,,,,,,,,,,,,,
233,가: 박 씨는 아무한테나 말을 함부로 던지는 경향이 있어.,나: 맞아. 듣는 사람 입장을 생각해서 부드럽게 표현하면 좋을 텐데 말이야.,,,,,,,,,,,,,,,
234,가: 누구 뽑았어?,나: 마땅한 후보가 있어야 투표를 하지. 그냥 기권표 던지고 나왔어.,,,,,,,,,,,,,,,
235,가: 여기서 주차된 차를 빼려면 핸들을 오른쪽으로 끝까지 돌려 놓고 차를 천천히 빼면서 핸들을 풀어야 해.,"나: 네, 제가 한번 차를 빼 볼게요.",,,,,,,,,,,,,,,
236,가: 오늘은 일요일인데도 기계를 돌리시네요?,"나: 네, 요새 주문량이 많아서 휴일 없이 일하고 있어요.",,,,,,,,,,,,,,,
237,"가: 사장님, 이번 명절 대목에도 주문량이 많을 것 같으니까 거래처에 미리 주문 넣어 놓을까요?",나: 그러게. 미리미리 상품을 돌려 놓자고.,,,,,,,,,,,,,,,
238,가: 내가 하는 말이 무슨 말인지 알겠어?,나: 그렇게 돌려서 말하는데 무슨 말인지 어떻게 알아? 그냥 직접적으로 이야기해 줘.,,,,,,,,,,,,,,,
239,가: 이 더운 날씨에 아이들을 운동장을 돌리는 건 너무하지 않아요?,나: 프로 선수가 되고 싶다면 이 더위쯤은 이겨 낼 수 있어야 합니다.,,,,,,,,,,,,,,,
240,가: 잔 하나로 여럿이 술잔을 돌리면 여러 가지 질병에 감염될 수 있어요.,나: 그렇군요. 조심해야겠네요.,,,,,,,,,,,,,,,
241,가: 돌잔치에 온 손님들께 뭘 드릴지 결정했어요?,"나: 아직요. 떡을 돌릴지, 기념품을 돌릴지 고민 중이에요.",,,,,,,,,,,,,,,
242,가: 정 부장님은 꼭 본인 잘못을 부하 직원 잘못으로 돌리더라.,나: 저도 한 번 정 부장님 실수를 대신 뒤집어 쓴 적 있어요.,,,,,,,,,,,,,,,
243,"가: 자, 지금 그 자세에서 다리와 반대 방향으로 고개를 돌리세요.",나: 그니까 왼쪽으로 고개를 돌리면 되죠?,,,,,,,,,,,,,,,
244,가: 오! 지금 마술사가 어디로 사라진 거지?,나: 사람들의 관심을 마술 도우미에게 돌려 놓고 그 사이에 사라졌나 봐.,,,,,,,,,,,,,,,
245,가: 이번 사건을 일으킨 박 대리는 어떻게 처벌할 생각인가요?,나: 해외 지점으로 돌릴 생각입니다.,,,,,,,,,,,,,,,
246,가: 차가 밀려서 발표자가 늦는다고 하네요. 어쩌죠?,나: 그러면 가장 마지막 순서로 발표를 돌려야겠네요.,,,,,,,,,,,,,,,
247,가: 김 선수가 겸손하게도 자신의 신기록을 실력이 아닌 운으로 돌렸대.,나: 운도 실력이 받쳐줘야 따르는 법이지.,,,,,,,,,,,,,,,
248,가: 말 돌리지 말고 어제 어떻게 됐는지 얘기 좀 해 봐.,나: 어제 차가 많이 막혀서 약속 시간에 한 시간이나 늦고 말았어.,,,,,,,,,,,,,,,
249,가: 삑삑거리는 이 소리는 뭐지?,나: 나도 아까부터 그런 소리가 들려서 이상하게 생각하고 있었어.,,,,,,,,,,,,,,,
250,가: 너 자꾸 멋대로 하고 아빠 말 안 들으면 혼난다.,나: 죄송해요. 앞으로는 말 잘 들을게요.,,,,,,,,,,,,,,,
251,가: 새로 출시된 자동차에 문제가 보고됐다면서?,나: 네. 갑자기 브레이크가 말을 듣지 않는 현상이 종종 나타난다고 합니다.,,,,,,,,,,,,,,,
252,"가: 김 선생님, 조만간 결혼하신다고 들었는데 사실이에요?",나: 네. 저 다음 달에 결혼해요.,,,,,,,,,,,,,,,
253,가: 너 오늘 기분이 들뜬 거 같다. 무슨 좋은 일 있니?,나: 선생님께 발표를 잘한다고 칭찬을 들었어.,,,,,,,,,,,,,,,
254,가: 내가 너한테 해 주고 싶은 말이 있어. 고깝게는 듣지 말아 줘.,나: 무슨 이야기이신데요?,,,,,,,,,,,,,,,
255,가: 그렇게 허리가 아프면 진통제를 먹어.,나: 나는 진통제가 잘 안 들어서 소용없어.,,,,,,,,,,,,,,,
256,가: 손에 든 표는 뭐야?,나: 이거 영화표인데 같이 갈래?,,,,,,,,,,,,,,,
257,가: 상자 밑에 편지가 깔렸는데 상자 좀 들어 줄래?,나: 이 상자 말이지?,,,,,,,,,,,,,,,
258,가: 올해부터 회사가 직원들을 위해 다양한 제도를 마련했다고 들었어요.,나: 네. 예를 들면 아이를 키우는 여자 직원들의 출근 시간을 늦춰 준대요.,,,,,,,,,,,,,,,
259,가: 가서 할아버지 진지 드시라고 해.,"나: 네, 할아버지 진지 드세요.",,,,,,,,,,,,,,,
260,가: 제가 잘못한 게 도대체 뭐죠?,나: 너의 말이 좀 무례하게 들리는구나.,,,,,,,,,,,,,,,
261,"가: 유민아, 나 가방 좀 사야 하는데 같이 가자.",나: 그래. 그럼 이 옆에 있는 백화점에 들어가 보자.,,,,,,,,,,,,,,,
262,가: 우리 할아버지께서 사시는 곳은 전기도 들어가지 않는 외딴곳이야.,나: 아직도 그런 곳이 있다고?,,,,,,,,,,,,,,,
263,가: 새 상품의 디자인은 언제 시작하기로 했지요?,나: 오늘부터 작업에 들어가기로 했습니다.,,,,,,,,,,,,,,,
264,가: 용돈을 받은 지 일주일밖에 안 되었는데 벌써 다 썼다고?,나: 책값으로 십만 원이나 들어가는 바람에 그렇게 됐어요.,,,,,,,,,,,,,,,
265,가: 이 사진은 어디에 쓸 건가요?,나: 새로 출판될 그림책의 서문 아래쪽에 들어갈 거예요.,,,,,,,,,,,,,,,
266,가: 아까 목욕하다가 귀에 물이 들어간 모양이야. 어떻게 하지?,나: 물을 빼내려면 고개를 옆으로 하고 발을 동동 굴러 봐.,,,,,,,,,,,,,,,
267,가: 신제품 생산 기술이 경쟁사로 들어가지 않게 특별히 조심해 주기 바랍니다.,나: 네. 보안 시스템을 더욱 강화하겠습니다.,,,,,,,,,,,,,,,
268,"가: 유민아, 너는 어떤 동아리에 들어갈 거니?",나: 난 여행 동아리에 들어가고 싶어.,,,,,,,,,,,,,,,
269,"가: 선생님, 조류는 모두 날 수 있어요?",나: 펭귄이나 타조처럼 조류에 들어가지만 날지 못하는 새들도 있어요.,,,,,,,,,,,,,,,
270,가: 이 많은 내용을 어떻게 다 외웠니?,나: 선생님께서 머리에 쏙쏙 들어가도록 노래를 만들어 외우는 방법을 가르쳐 주셨어요.,,,,,,,,,,,,,,,
271,가: 네 차 앞부분이 움푹 들어가 있잖아.,나: 아침에 오다가 가벼운 접촉 사고가 났어.,,,,,,,,,,,,,,,
272,가: 유진이가 용돈 올려 달라던 소리가 쏙 들어갔구나.,"나: 네, 조금 더 아껴 쓰기로 했어요.",,,,,,,,,,,,,,,
273,가: 대학원에 진학하기로 했다면서?,나: 응. 국어학은 들어가면 들어갈수록 재미가 있어서 더 깊이 공부해 보고 싶어.,,,,,,,,,,,,,,,
274,가: 이 청바지 한번 입어 봐도 될까요?,나: 네. 잘 들어가는지 한번 입어 보세요.,,,,,,,,,,,,,,,
275,"가: 엄마, 저 친구 만나러 나갔다 올게요.",나: 집에 너무 늦지 않게 들어오너라.,,,,,,,,,,,,,,,
276,가: 요즘은 들어오는 돈보다 나가는 돈이 더 많아서 걱정이에요.,나: 생활비를 좀 줄여 보도록 해요.,,,,,,,,,,,,,,,
277,가: 요즘은 각종 매체를 통해 외국의 문화가 쉽게 들어오는 것 같아요.,나: 인터넷의 발달이 큰 영향을 끼쳤을 거야.,,,,,,,,,,,,,,,
278,가: 갑자기 정전이 되었네.,나: 곧 전기가 들어올 테니 조금만 기다려 봐.,,,,,,,,,,,,,,,
279,가: 어떻게 우리 동호회를 들어오게 됐어요?,나: 인터넷에서 우연히 알게 되어서 들어오게 된 거예요.,,,,,,,,,,,,,,,
280,가: 산 정상에 오르니 시내가 한눈에 들어오네. 기분 좋은걸.,나: 거 봐. 내 말대로 등산 오길 잘했지?,,,,,,,,,,,,,,,
281,가: 이시계가 내 손에 들어온 뒤부터 자꾸 망가지고 말썽이야.,나: 수리점에 맡겨 봐.,,,,,,,,,,,,,,,
282,가: 지수가 방금 뭐라고 했니?,나: 네가 정신이 다른 데 가 있으니 지수 말이 귀에 들어오지 않지.,,,,,,,,,,,,,,,
283,가: 어제 들어온 고객들의 요청 사항은 처리되었습니까?,나: 오늘 내로 다 처리하겠습니다.,,,,,,,,,,,,,,,
284,가: 하루 종일 서 있었더니 허리가 아프네.,나: 여기에 등을 좀 기대고 쉬어.,,,,,,,,,,,,,,,
285,"가: 지수야, 왜 절뚝거리면서 오니?",나: 새 구두의 등 부분이 딱딱해서 발이 조금 아파.,,,,,,,,,,,,,,,
286,가: 웬 땀을 이렇게 많이 흘렸어?,나: 좀 전에 팔 굽혀 펴기를 백 개나 했거든.,,,,,,,,,,,,,,,
287,가: 태권도 전국 대회에서 민준이가 우승을 차지했다고?,나: 그동안 민준이가 흘린 땀에 대한 보상이라고 할 수 있지.,,,,,,,,,,,,,,,
288,가: 요즘 유민의 발음이 똑똑하지 못한 것 같아.,나: 얼마 전에 유민이가 입안을 다쳐서 말하기가 힘들다고 하더라.,,,,,,,,,,,,,,,
289,가: 아이가 엄마를 닮아서 귀엽고 똑똑하고 아주 깜찍하네요.,나: 예쁘게 봐 주셔서 감사합니다.,,,,,,,,,,,,,,,
290,가: 요즘 생활이 많이 편해졌는지 뚱뚱한 사람들이 점점 느는 것 같아.,나: 맞아. 그래서 성인병이 생기는 비율도 점점 높아지고 있대.,,,,,,,,,,,,,,,
291,가: 깁스를 하니 많이 힘든가 보구나. 다리가 뚱뚱하네.,나: 많이 부어서 그래요.,,,,,,,,,,,,,,,
292,가: 조심해. 그렇게 뛰다가 넘어질라.,나: 버스 놓치지 않으려면 뛰어가야 해요.,,,,,,,,,,,,,,,
293,"가: 아버지, 언제까지 일을 하실 거예요?",나: 아직 기운이 넘치는데 앞으로 십 년은 현역으로 뛰어야지.,,,,,,,,,,,,,,,
294,"가: 이 도둑놈들, 거기 서라!","나: 경찰이다! 얘들아, 어서 뛰어!",,,,,,,,,,,,,,,
295,가: 매일 취재하러 나가는 거야?,나: 직접 발로 뛰어야 좋은 기사를 쓸 수 있지.,,,,,,,,,,,,,,,
296,가: 승규가 교내 달리기 시합에서 100미터를 11초에 뛰었다며? 진짜 빠르다.,"나: 응, 아마 승규가 우리 학교 대표로 전국 대회에 나가게 될 거야.",,,,,,,,,,,,,,,
297,가: 이번 방학에 뭐 할 거야?,나: 다음 학기 등록금을 벌려면 부지런히 아르바이트 뛰어야지.,,,,,,,,,,,,,,,
298,"가: 아, 갑자기 비가 오네. 우산도 없는데 어쩌지?",나: 일단 저 건물 안으로 뛰어가서 비를 피하자.,,,,,,,,,,,,,,,
299,가: 바람이 많이 부네.,나: 그래도 약속 시간에 늦지 않으려면 이 강풍 속을 뛰어가야 해.,,,,,,,,,,,,,,,
